"","week","yards","preds"
"624",12,54,0.39718057928129
"625",13,54,0.384696659929023
"626",14,54,0.372362749106289
"627",15,54,0.360192792403722
"628",16,54,0.348199923054167
"629",17,54,0.336396415813855
"630",1,55,0.511699766849677
"631",2,55,0.498593504663059
"632",3,55,0.485489175002602
"633",4,55,0.472404766608112
"634",5,55,0.459358158981771
"635",6,55,0.446367025031024
"636",7,55,0.433448736103212
"637",8,55,0.420620270486037
"638",9,55,0.407898126379987
"639",10,55,0.395298240262236
"640",11,55,0.38283591145893
"641",12,55,0.370525733626955
"642",13,55,0.358381533720672
"643",14,55,0.34641631888694
"644",15,55,0.334642231596586
"645",16,55,0.323070513185628
"646",17,55,0.311711475848149
"647",1,56,0.483524013298086
"648",2,56,0.470444141066959
"649",3,56,0.457404737137594
"650",4,56,0.444423435148366
"651",5,56,0.431517553200603
"652",6,56,0.41870400296787
"653",7,56,0.405999203421144
"654",8,56,0.393419000074948
"655",9,56,0.380978590554745
"656",10,56,0.368692457168376
"657",11,56,0.356574307037539
"658",12,56,0.344637020212434
"659",13,56,0.332892606057426
"660",14,56,0.321352168060988
"661",15,56,0.310025877092625
"662",16,56,0.298922953005608
"663",17,56,0.28805165436968
"664",1,57,0.455452624220993
"665",2,57,0.442481544331761
"666",3,57,0.429588450342037
"667",4,57,0.416790185366835
"668",5,57,0.404103087327723
"669",6,57,0.391542909099233
"670",7,57,0.379124745086758
"671",8,57,0.366862964900192
"672",9,57,0.354771154659677
"673",10,57,0.342862066336361
"674",11,57,0.331147575395691
"675",12,57,0.319638646876581
"676",13,57,0.308345309910083
"677",14,57,0.297276640558536
"678",15,57,0.286440752743081
"679",16,57,0.275844796925803
"680",17,57,0.26549496612405
"681",1,58,0.427661483785009
"682",2,58,0.414878872113689
"683",3,58,0.402209830442541
"684",4,58,0.389670017351558
"685",5,58,0.377274422531531
"686",6,58,0.365037301571979
"687",7,58,0.352972118450246
"688",8,58,0.341091496104393
"689",9,58,0.329407175337108
"690",10,58,0.317929982164174
"691",11,58,0.306669803592189
"692",12,58,0.295635571688879
"693",13,58,0.284835255697886
"694",14,58,0.274275861850105
"695",15,58,0.263963440437005
"696",16,58,0.253903099638753
"697",17,58,0.244099025541815
"698",1,59,0.400319484773941
"699",2,59,0.387800374480239
